Date,Open,tomo prediction,Dividends,Pos,prediction,last
2019-04-03,95.87970985400648,1,0.0,1,1.0,1.0
2019-04-04,95.61052347499144,1,0.0,1,1.0,1.0
2019-04-05,96.05607885448357,1,0.0,0,1.0,1.0
2019-04-08,95.69406325146286,1,0.0,0,1.0,1.0
2019-04-09,95.42485998505579,1,0.0,1,1.0,1.0
2019-04-10,95.79616592850556,1,0.0,1,1.0,1.0
2019-04-11,96.17675451351431,1,0.0,1,1.0,1.0
2019-04-12,96.854379736867,1,0.0,1,1.0,1.0
2019-04-15,96.93792085391534,1,0.0,1,1.0,1.0
2019-04-16,97.62482285708431,1,0.0,1,1.0,1.0
2019-04-17,98.34886734806385,1,0.0,1,1.0,1.0
2019-04-18,98.76659569908007,0,0.0,0,1.0,1.0
2019-04-22,99.32354847812329,1,0.0,1,0.0,1.0
2019-04-23,99.45349457124505,1,0.0,0,1.0,0.0
2019-04-24,99.81268399743796,1,1.02,0,1.0,1.0
2019-04-25,98.69751347106909,1,0.0,1,1.0,1.0
2019-04-26,98.5944310824555,1,0.0,1,1.0,1.0
2019-04-29,98.8943165993569,1,0.0,1,1.0,1.0
2019-04-30,99.58778287338491,1,0.0,0,1.0,1.0
2019-05-01,99.90639714970371,1,0.0,0,1.0,1.0
2019-05-02,99.74709233683464,1,0.0,1,1.0,1.0
2019-05-03,99.93450502769873,1,0.0,1,1.0,1.0
2019-05-06,98.6787754480321,0,0.0,0,1.0,1.0
2019-05-07,99.62527034850834,0,0.0,0,0.0,1.0
2019-05-08,99.41909294550044,1,0.0,1,0.0,0.0
2019-05-09,98.8661886453045,1,0.0,0,1.0,0.0
2019-05-10,98.89430542499062,0,0.0,0,1.0,1.0
2019-05-13,97.46050481903812,1,0.0,1,0.0,1.0
2019-05-14,97.92907963849348,1,0.0,1,1.0,0.0
2019-05-15,97.56359897801157,1,0.0,1,1.0,1.0
2019-05-16,98.3976375730116,1,0.0,0,1.0,1.0
2019-05-17,98.25705958105414,1,0.0,1,1.0,1.0
2019-05-21,98.60380653084965,1,0.0,0,1.0,1.0
2019-05-23,97.35742790802787,1,0.0,1,1.0,1.0
2019-05-24,96.72018740060149,0,0.0,0,1.0,1.0
2019-05-28,97.88221239508222,1,0.0,0,0.0,1.0
2019-05-29,96.61711634157706,1,0.0,0,1.0,0.0
2019-05-30,96.31723057339464,1,0.0,0,1.0,1.0
2019-05-31,95.35198909157332,1,0.0,1,1.0,1.0
2019-06-03,95.19268286269345,1,0.0,1,1.0,1.0
2019-06-04,96.05483855876909,1,0.0,1,1.0,1.0
2019-06-05,96.96384615091615,1,0.0,0,1.0,1.0
2019-06-06,96.88887390715149,1,0.0,1,1.0,1.0
2019-06-07,96.66396271544887,1,0.0,1,1.0,1.0
2019-06-10,97.0388197019713,1,0.0,0,1.0,1.0
2019-06-11,97.32930566915891,1,0.0,0,1.0,1.0
2019-06-12,96.5327670335488,1,0.0,1,1.0,1.0
2019-06-13,96.04546020848828,1,0.0,1,1.0,1.0
2019-06-14,96.3922030082805,1,0.0,1,1.0,1.0
2019-06-17,96.86076297568184,1,0.0,1,1.0,1.0
